date,views,unique_visitors
2026-04-29,231,90
2026-04-30,186,87
2026-05-01,246,79
2026-05-02,200,75
2026-05-03,123,69
2026-05-04,144,68
2026-05-05,213,92
2026-05-06,113,76
2026-05-07,169,84
2026-05-08,172,87
2026-05-09,205,82
2026-05-10,218,89
2026-05-11,151,79
2026-05-12,133,77
2026-05-13,125,73
2026-05-14,174,98
2026-05-15,193,79
2026-05-16,244,98
2026-05-17,243,86
2026-05-18,157,83
2026-05-19,168,75
2026-05-20,153,80
2026-05-21,170,79
2026-05-22,203,93
2026-05-23,152,69
2026-05-24,233,95
2026-05-25,200,93
2026-05-26,182,81
2026-05-27,149,80
2026-05-28,159,75
2026-05-29,240,79
2026-05-30,189,83
2026-05-31,210,85
2026-06-01,121,70
2026-06-02,109,56
2026-06-03,136,65
2026-06-04,147,75
2026-06-05,177,86
2026-06-06,254,162
2026-06-07,238,96
2026-06-08,165,82
2026-06-09,231,101
2026-06-10,149,70
2026-06-11,190,80
2026-06-12,192,84
2026-06-13,166,71
2026-06-14,217,86
2026-06-15,149,79
2026-06-16,120,66
2026-06-17,139,87
2026-06-18,164,76
2026-06-19,228,87
2026-06-20,161,53
2026-06-21,145,57
2026-06-22,156,89
2026-06-23,232,93
2026-06-24,216,82
2026-06-25,171,75
2026-06-26,158,79
2026-06-27,205,72
2026-06-28,202,69
2026-06-29,137,70
2026-06-30,172,76
2026-07-01,111,55
2026-07-02,111,49
2026-07-03,218,108
2026-07-04,214,90
2026-07-05,133,66
2026-07-06,110,63
2026-07-07,103,67
2026-07-08,130,64
2026-07-09,147,70
2026-07-10,116,69
2026-07-11,211,87
2026-07-12,169,103
2026-07-13,126,59
2026-07-14,119,68
2026-07-15,83,57
2026-07-16,70,45
2026-07-17,164,67
2026-07-18,65,34
2026-07-19,55,37
2026-07-20,147,49
2026-07-21,60,41
2026-07-22,89,45
2026-07-23,96,57
2026-07-24,147,55
2026-07-25,105,40
2026-07-26,94,44
2026-07-27,66,42
2026-07-28,128,69
2026-07-29,132,56
2026-07-30,102,53
2026-07-31,95,49
2026-08-01,125,47
2026-08-02,96,36
2026-08-03,113,52
2026-08-04,173,72
2026-08-05,159,60
2026-08-06,125,55
2026-08-07,148,47
2026-08-08,155,53
2026-08-09,140,40
2026-08-10,150,68
2026-08-11,149,62
2026-08-12,125,64
